Start Time,Stop Time,Initial Speaker,From,To,Protocol,Duration,Packets,State,Comments
133.297637,133.306397,10.200.110.100,"""bot40"" <sip:bot40@10.200.110.100>",<sip:bot35@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
133.313446,133.327849,10.200.110.100,"""bot43"" <sip:bot43@10.200.110.100>",<sip:bot37@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
133.358143,2847.124671,10.200.110.100,"""bot41"" <sip:bot41@10.200.110.100>",<sip:bot43@10.200.110.111>,SIP,12:45:13 AM,10,COMPLETED,INVITE 401 200
133.363081,2847.141458,10.200.110.111,"""bot41"" <sip:bot41@10.200.110.111>",<sip:bot43@10.200.110.100:8543>,SIP,12:45:13 AM,7,COMPLETED,INVITE 200
373.320457,373.333613,10.200.110.100,"""bot42"" <sip:bot42@10.200.110.100>",<sip:bot38@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
733.32289,733.333921,10.200.110.100,"""bot43"" <sip:bot43@10.200.110.100>",<sip:bot33@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
793.310802,793.327381,10.200.110.100,"""bot40"" <sip:bot40@10.200.110.100>",<sip:bot36@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
913.365618,919.994645,10.200.110.100,"""bot41"" <sip:bot41@10.200.110.100>",<sip:bot43@10.200.110.111>,SIP,12:00:06 AM,7,REJECTED,INVITE 401 486
913.377448,919.989921,10.200.110.111,"""bot41"" <sip:bot41@10.200.110.111>",<sip:bot43@10.200.110.100:8543>,SIP,12:00:06 AM,4,REJECTED,INVITE 486
1453.333183,1453.350153,10.200.110.100,"""bot43"" <sip:bot43@10.200.110.100>",<sip:bot37@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
1513.331728,1716.602373,10.200.110.100,"""bot42"" <sip:bot42@10.200.110.100>",<sip:bot42@10.200.110.111>,SIP,12:03:23 AM,10,COMPLETED,INVITE 401 200
1513.344609,1716.619905,10.200.110.111,"""bot42"" <sip:bot42@10.200.110.111>",<sip:bot42@10.200.110.100:8542>,SIP,12:03:23 AM,7,COMPLETED,INVITE 200
1873.375893,1873.391016,10.200.110.100,"""bot41"" <sip:bot41@10.200.110.100>",<sip:bot30@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
1993.320805,1993.338043,10.200.110.100,"""bot40"" <sip:bot40@10.200.110.100>",<sip:bot34@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
2533.341484,4817.719731,10.200.110.100,"""bot42"" <sip:bot42@10.200.110.100>",<sip:bot41@10.200.110.111>,SIP,12:38:04 AM,10,COMPLETED,INVITE 401 200
2533.353852,4817.737538,10.200.110.111,"""bot42"" <sip:bot42@10.200.110.111>",<sip:bot41@10.200.110.100:8541>,SIP,12:38:04 AM,7,COMPLETED,INVITE 200
3013.330846,3013.347621,10.200.110.100,"""bot40"" <sip:bot40@10.200.110.100>",<sip:bot31@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
3073.341024,3073.357124,10.200.110.100,"""bot43"" <sip:bot43@10.200.110.100>",<sip:bot39@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
3133.384551,3133.401341,10.200.110.100,"""bot41"" <sip:bot41@10.200.110.100>",<sip:bot34@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
3613.351686,3613.367711,10.200.110.100,"""bot42"" <sip:bot42@10.200.110.100>",<sip:bot30@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
3853.340406,3853.357105,10.200.110.100,"""bot40"" <sip:bot40@10.200.110.100>",<sip:bot44@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
