Start Time,Stop Time,Initial Speaker,From,To,Protocol,Duration,Packets,State,Comments,
156.82443,213.258024,10.200.110.100,"""bot50","<sip:bot50@10.200.110.100>""",<sip:bot55@10.200.110.111>,SIP,12:00:56 AM,10,COMPLETED,INVITE 401 200
156.831645,213.271881,10.200.110.111,"""bot50","<sip:bot50@10.200.110.111>""",<sip:bot55@10.200.110.100:8555>,SIP,12:00:56 AM,7,COMPLETED,INVITE 200
156.966603,203.317673,10.200.110.100,"""bot52","<sip:bot52@10.200.110.100>""",<sip:bot55@10.200.110.111>,SIP,12:00:46 AM,10,COMPLETED,INVITE 401 200
156.97194,203.332101,10.200.110.111,"""bot52","<sip:bot52@10.200.110.111>""",<sip:bot55@10.200.110.100:8555>,SIP,12:00:46 AM,7,COMPLETED,INVITE 200
157.005099,210.58616,10.200.110.100,"""bot58","<sip:bot58@10.200.110.100>""",<sip:bot56@10.200.110.111>,SIP,12:00:53 AM,10,COMPLETED,INVITE 401 200
157.00986,210.606466,10.200.110.111,"""bot58","<sip:bot58@10.200.110.111>""",<sip:bot56@10.200.110.100:8556>,SIP,12:00:53 AM,7,COMPLETED,INVITE 200
216.958943,216.980444,10.200.110.100,"""bot56","<sip:bot56@10.200.110.100>""",<sip:bot62@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
216.986668,293.171838,10.200.110.100,"""bot57","<sip:bot57@10.200.110.100>""",<sip:bot51@10.200.110.111>,SIP,12:01:16 AM,10,COMPLETED,INVITE 401 200
216.993888,293.190402,10.200.110.111,"""bot57","<sip:bot57@10.200.110.111>""",<sip:bot51@10.200.110.100:8551>,SIP,12:01:16 AM,7,COMPLETED,INVITE 200
217.039441,260.360936,10.200.110.100,"""bot60","<sip:bot60@10.200.110.100>""",<sip:bot59@10.200.110.111>,SIP,12:00:43 AM,10,COMPLETED,INVITE 401 200
217.046918,260.381222,10.200.110.111,"""bot60","<sip:bot60@10.200.110.111>""",<sip:bot59@10.200.110.100:8559>,SIP,12:00:43 AM,7,COMPLETED,INVITE 200
276.816834,307.966001,10.200.110.100,"""bot59","<sip:bot59@10.200.110.100>""",<sip:bot58@10.200.110.111>,SIP,12:00:31 AM,10,COMPLETED,INVITE 401 200
276.826845,307.979976,10.200.110.111,"""bot59","<sip:bot59@10.200.110.111>""",<sip:bot58@10.200.110.100:8558>,SIP,12:00:31 AM,7,COMPLETED,INVITE 200
276.993224,307.557982,10.200.110.100,"""bot54","<sip:bot54@10.200.110.100>""",<sip:bot56@10.200.110.111>,SIP,12:00:30 AM,12,COMPLETED,INVITE 401 200
277.029663,286.543142,10.200.110.100,"""bot53","<sip:bot53@10.200.110.100>""",<sip:bot51@10.200.110.111>,SIP,12:00:09 AM,7,REJECTED,INVITE 401 486
277.173807,307.584332,10.200.110.111,"""bot54","<sip:bot54@10.200.110.111>""",<sip:bot56@10.200.110.100:8556>,SIP,12:00:30 AM,7,COMPLETED,INVITE 200
277.186558,286.537409,10.200.110.111,"""bot53","<sip:bot53@10.200.110.111>""",<sip:bot51@10.200.110.100:8551>,SIP,12:00:09 AM,4,REJECTED,INVITE 486
396.907203,475.3128,10.200.110.100,"""bot55","<sip:bot55@10.200.110.100>""",<sip:bot54@10.200.110.111>,SIP,12:01:18 AM,10,COMPLETED,INVITE 401 200
396.921142,475.327907,10.200.110.111,"""bot55","<sip:bot55@10.200.110.111>""",<sip:bot54@10.200.110.100:8554>,SIP,12:01:18 AM,7,COMPLETED,INVITE 200
396.968902,396.980602,10.200.110.100,"""bot51","<sip:bot51@10.200.110.100>""",<sip:bot62@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
697.015598,697.035635,10.200.110.100,"""bot58","<sip:bot58@10.200.110.100>""",<sip:bot63@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
936.9922,1008.833825,10.200.110.100,"""bot57","<sip:bot57@10.200.110.100>""",<sip:bot53@10.200.110.111>,SIP,12:01:11 AM,10,COMPLETED,INVITE 401 200
936.998346,1008.84772,10.200.110.111,"""bot57","<sip:bot57@10.200.110.111>""",<sip:bot53@10.200.110.100:8553>,SIP,12:01:11 AM,7,COMPLETED,INVITE 200
996.969969,1039.211431,10.200.110.100,"""bot56","<sip:bot56@10.200.110.100>""",<sip:bot55@10.200.110.111>,SIP,12:00:42 AM,10,COMPLETED,INVITE 401 200
997.020451,1039.21782,10.200.110.111,"""bot56","<sip:bot56@10.200.110.111>""",<sip:bot55@10.200.110.100:8555>,SIP,12:00:42 AM,7,COMPLETED,INVITE 200
